Total,Ambiguous,Word,POS
40,40/0/0,confero/fers/ferre/tuli/latum,PossibleVerb.
40,36/4/4,timeo/es/ere/timui,PossibleVerb.
40,34/7/6,cogo/is/ere/egi/actum,PossibleVerb.
40,25/24/15,novus,adj.
40,0/546/40,quam/quamde/quande,adv.
39,39/0/0,sub,prep. + acc. / abl.
39,39/0/0,reddo/is/ere/ddidi/dditum,PossibleVerb.
39,39/0/0,imperium/ii,n.
39,38/1/1,refero/fers/ferre/tuli/latum,PossibleVerb.
39,36/8/3,vester/tra/trum,PossibleVerb.
39,17/38/22,nescio/is/ire/iui (ii)/itum,PossibleVerb.
39,1/103/38,no/as/are,PossibleVerb.
39,0/129/39,bonum/i,n.
38,38/0/0,tot,adv.
38,38/0/0,tamquam,adv.
38,38/0/0,diu,adv.
38,33/7/5,dignus,adj.
38,30/46/8,malo/mauis/malle/malui,PossibleVerb.
38,0/79/38,bellum/i,n.
37,37/0/0,voluntas/atis,f.
37,37/0/0,trado/is/ere/didi/ditum,PossibleVerb.
37,37/0/0,scipio/onis,m.
37,37/0/0,necesse,adj.
37,37/0/0,adhuc/adhoc,adv.
37,28/14/9,ordo/inis,m.
37,0/195/37,dico/as/are,PossibleVerb.
36,5/59/31,amicus,adj.
36,36/0/0,quin,conj.
36,36/0/0,brutus,adj.
36,27/14/9,odio/isse,PossibleVerb.
36,25/16/11,diligo/is/ere/lexi/lectum,PossibleVerb.
36,12/53/24,pario/is/ere/peperi/partum,PossibleVerb.
36,1/73/35,sero/is/ere/seui/satum,PossibleVerb.
35,35/0/0,sicut,adv.
35,35/0/0,ob,prep. + acc.
35,34/1/1,accuso/as/are,PossibleVerb.
35,33/2/2,ignoro/as/are,PossibleVerb.
35,0/91/35,patria/ae,f. sing.
35,0/71/35,liceo,v. impers.
35,0/141/35,suo/is/ere/sui/sutum,PossibleVerb.
34,34/0/0,potestas/atis,f.
34,34/0/0,dignitas/atis,f.
34,32/2/2,coepio/is/ere/coepi/coeptum,PossibleVerb.
34,31/3/3,vendo/is/ere/didi/ditum,PossibleVerb.
34,3/69/31,lego/as/are,PossibleVerb.
34,27/8/7,cupio/is/ere/i(u)i/itum,PossibleVerb.
33,33/0/0,mulier/is,f.
33,33/0/0,ideo,adv.
33,33/0/0,dubito/as/are,PossibleVerb.
33,33/0/0,denique,adv.
33,33/0/0,auctoritas/atis,f.
33,27/9/6,regnum/i,n.
33,18/19/15,amo/as/are,PossibleVerb.
32,7/46/25,facilis,e
32,32/0/0,spes/ei,f.
32,32/0/0,significo/as/are,PossibleVerb.
32,32/0/0,scilicet,adv.
32,32/0/0,quando,conj. sub.
32,32/0/0,pervenio/is/ire/ueni/uentum,PossibleVerb.
32,32/0/0,num,adv. interr.
32,32/0/0,accedo/is/ere/cessi/cessum,PossibleVerb.
32,31/1/1,ostendo/is/ere/tendi/tentum,PossibleVerb.
32,27/6/5,efficio/is/ere/effeci/effectum,PossibleVerb.
32,27/6/5,convenio/is/ire/ueni/uentum,PossibleVerb.
32,16/24/16,testis/is,m.
32,1/73/31,ceterus,adj.
32,0/121/32,multum/i,n.
31,9/38/22,uter/tra/trum,PossibleVerb.
31,31/0/0,omnino,adv.
31,31/0/0,italia/ae,f.
31,31/0/0,interrogo/as/are,PossibleVerb.
31,31/0/0,fortasse,adv.
31,29/3/2,recipio/is/ere/cepi/ceptum,PossibleVerb.
31,29/3/2,cio/is/ire,PossibleVerb.
31,27/5/4,emo/is/ere/emi/emptum,PossibleVerb.
31,26/8/5,mens/entis,f.
31,26/7/5,solvo/is/ere/ui/utum,PossibleVerb.
31,14/28/17,pecco/as/are,PossibleVerb.
31,14/27/17,longus,adj.
31,13/31/18,saepe,adv.
31,12/38/19,exerceo/es/ere/cui/citum,PossibleVerb.
31,0/65/31,occido/is/ere/occidi/occasum (ob + cado),PossibleVerb.
30,30/0/0,studium/ii,n.
30,30/0/0,actio/onis,f.
30,27/3/3,spero/as/are,PossibleVerb.
30,24/10/6,sto/as/are/steti/statum,PossibleVerb.
30,19/18/11,curo/coiro/as/are : se charger de/prendre soin de (curatus,adj.
30,17/29/13,impero/as/are,PossibleVerb.
30,16/19/14,vitium/ii,n.
29,6/70/23,aliqui/qua/quod,adj.
29,6/35/23,aequus/aecus,adj.
29,4/55/25,rego/is/ere/rexi/rectum,PossibleVerb.
29,29/0/0,interficio/is/ere/feci/fectum,PossibleVerb.
29,29/0/0,imago/inis,f.
29,29/0/0,fateor/eris/eri/fassus sum,PossibleVerb.
29,29/0/0,disciplina/ae,f.
29,27/3/2,pereo/is/ire/ii/itum,PossibleVerb.
29,26/3/3,adduco/is/ere/duxi/ductum,PossibleVerb.
29,25/6/4,pugno/as/are,PossibleVerb.
29,25/5/4,suscipio/succipio/is/ere/cepi/ceptum,PossibleVerb.
29,24/5/5,quicumque/quae-/quod- (-cun-),PossibleVerb.
29,23/14/6,servo/as/are,PossibleVerb.
29,19/27/10,caput/itis,n.
29,15/21/14,amplus,adj.
29,15/20/14,praecipio/is/ere/cepi/ceptum,PossibleVerb.
29,13/27/16,contineo/es/ere/tinui/tentum,PossibleVerb.
29,11/31/18,paro/as/are : preparer/procurer (paratus,adj.
29,0/69/29,totum/i,n.
28,7/35/21,cado/is/ere/cecidi/casum,PossibleVerb.
28,4/37/24,ars/artis,f.
28,28/0/0,familia/ae,f.
28,16/20/12,humanus,adj.
28,13/21/15,gravis,e
28,0/77/28,summum/i,n.
28,0/65/28,Romanus/i,m.
27,8/28/19,pax/pacis,f.
27,27/0/0,T,npr.
27,27/0/0,Roscius,adj.
27,27/0/0,pertineo/es/ere/tinui,PossibleVerb.
27,27/0/0,offero/fers/ferre/obtuli/oblatum,PossibleVerb.
27,27/0/0,Laelius/i,m.
27,27/0/0,ingenium/ii,n.
27,27/0/0,immo,adv.
27,27/0/0,gladius/i,m.
27,27/0/0,consulatus/us,m.
27,27/0/0,Christus/i,m.
27,26/1/1,defero/fers/ferre/tuli/latum,PossibleVerb.
27,25/2/2,sustineo/es/ere/tinui/tentum,PossibleVerb.
27,25/2/2,profero/fers/ferre/tuli/latum,PossibleVerb.
27,24/4/3,libertas/atis,f.
27,22/6/5,taceo/es/ere/cui/citum,PossibleVerb.
27,15/17/12,turpis,e
27,12/20/15,auctor/oris,m.
27,11/38/16,mereo/es/ere/rui/ritum (mereri/eor/itus sum),PossibleVerb.
27,0/81/27,veneo/is/ire/ivi (ii)/itum,intr.
27,0/58/27,amicus/i,m.
27,0/56/27,princeps/ipis,adj.
27,0/56/27,princeps/cipis,m.
26,9/23/17,maledico/is/ere/dixi/dictum,PossibleVerb.
26,26/0/0,spiritus/us,m.
26,26/0/0,simul/semul,adv.
26,26/0/0,quomodo,conj. sub.
26,26/0/0,provincia/ae,f.
26,26/0/0,omitto/is/ere/misi/missum : abandonner/laisser aller (omissus,adj.
26,24/2/2,sumo/is/ere/sumpsi/sumptum,PossibleVerb.
26,2/79/24,sol/solis,m.
26,12/24/14,talis,e
26,12/23/14,puer/eri,m.
26,0/64/26,licet/licere/licuit,impers.
25,9/33/16,sanctus,adj.
25,9/19/16,colo/is/ere/colui/cultum,PossibleVerb.
25,7/39/18,alienus,adj.
25,3/37/22,armo/as/are,PossibleVerb.
25,25/0/0,testimonium/i,n.
25,25/0/0,prius,adv.
25,25/0/0,equidem,adv.
25,25/0/0,crudelis,e
25,25/0/0,amicitia/ae,f.
25,25/0/0,aliquando,adv.
25,24/1/1,abeo/is/ire/ii/itum,PossibleVerb.
25,23/5/2,amor/oris,m.
25,23/2/2,desidero/as/are,PossibleVerb.
25,23/2/2,cognosco/is/ere/noui,cognitum
25,22/3/3,instituo/is/ere/tui/tutum,PossibleVerb.
25,21/9/4,laus/laudis,f.
25,20/6/5,constituo/is/ere/tui/tutum,PossibleVerb.
25,2/70/23,dius,adj.
25,19/7/6,fugio/is/ere/fugi,PossibleVerb.
25,15/15/10,irascor/eris/i/iratus sum,PossibleVerb.
25,13/20/12,signum/i,n.
25,13/19/12,memoria/ae,f.
25,11/83/14,reus/i,m.
25,10/23/15,mando/as/are,PossibleVerb.
25,0/99/25,malum/i,n.
25,0/99/25,malum/i,n.
24,24/0/0,tandem,adv.
24,24/0/0,sin,conj. sub.
24,24/0/0,quare,adv. et conj.
24,24/0/0,etsi,conj. sub.
24,24/0/0,ager/agri,m.
24,23/2/1,vereor/eris/eri/ueritus sum,PossibleVerb.
24,23/1/1,retineo/es/ere/ui/tentum,PossibleVerb.
24,23/1/1,finis/is,m. f.
24,22/2/2,consequor/eris/i/cutus sum,PossibleVerb.
24,21/3/3,beneficium/ii,n.
24,19/7/5,lux/lucis,f.
24,18/12/6,veto/voto/as/are/ui/itum,PossibleVerb.
24,15/17/9,fallo/is/ere/fefelli/falsum (fallitum),PossibleVerb.
24,15/14/9,mille/n. ia/ium,PossibleVerb.
24,15/14/9,absum/es/esse/afui,PossibleVerb.
24,12/16/12,obicio/is/ere/ieci/iectum,PossibleVerb.
24,0/76/24,tantum,adv.
24,0/65/24,ceteri/ae,a pl.
23,9/20/14,honestus,adj.
23,4/90/19,ver/eris,n.
