Frequency,Verb
-7.79050577320918,scelus
-7.79050577320918,ordo
-7.79050577320918,gravis
-7.79050577320918,gigno
-7.79050577320918,solum
-7.810708480526699,tribunus
-7.810708480526699,cupio
-7.810708480526699,contemno
-7.810708480526699,taceo
-7.810708480526699,absum
-7.810708480526699,paro
-7.810708480526699,nescio
-7.810708480526699,licet
-7.831327767729435,talis
-7.831327767729435,aequus
-7.831327767729435,ceterus
-7.852381176927267,voluntas
-7.852381176927267,testimonium
-7.852381176927267,Roma
-7.852381176927267,quomodo
-7.852381176927267,concedo
-7.852381176927267,servo
-7.852381176927267,tantum
-7.873887382148231,quare
-7.873887382148231,convenio
-7.873887382148231,reus
-7.895866288867006,honor
-7.895866288867006,potestas
-7.895866288867006,desum
-7.895866288867006,miror
-7.895866288867006,suscipio
-7.895866288867006,rego
-7.895866288867006,imperator
-7.895866288867006,facilis
-7.918339144719065,pecunia
-7.918339144719065,fortasse
-7.918339144719065,exemplum
-7.918339144719065,laus
-7.918339144719065,audeo
-7.918339144719065,amo
-7.918339144719065,pareo
-7.918339144719065,veneo
-7.918339144719065,summum
-7.941328662943763,spes
-7.941328662943763,omnino
-7.941328662943763,ignoro
-7.941328662943763,amicitia
-7.941328662943763,adsum
-7.941328662943763,miles
-7.941328662943763,colo
-7.964859160353957,provincia
-7.964859160353957,hinc
-7.964859160353957,disputo
-7.964859160353957,vereor
-7.964859160353957,mereo
-7.988956711933018,prius
-7.988956711933018,fateor
-7.988956711933018,confero
-7.988956711933018,poena
-7.988956711933018,signum
-7.988956711933018,cado
-8.01364932452339,ecce
-8.01364932452339,confiteor
-8.01364932452339,sto
-8.01364932452339,quantum
-8.038967132507679,sub
-8.038967132507679,sive
-8.038967132507679,quin
-8.038967132507679,Q
-8.038967132507679,pertineo
-8.038967132507679,memini
-8.038967132507679,ideo
-8.038967132507679,dubito
-8.038967132507679,Catilina
-8.038967132507679,consequor
-8.038967132507679,cogo
-8.038967132507679,nox
-8.038967132507679,ver
-8.038967132507679,testis
-8.038967132507679,patria
-8.06494261891094,ars
-8.06494261891094,statim
-8.06494261891094,simul
-8.06494261891094,ibi
-8.06494261891094,desidero
-8.06494261891094,spero
-8.06494261891094,fallo
-8.06494261891094,patro
-8.06494261891094,exerceo
-8.06494261891094,exspecto
-8.06494261891094,dius
-8.0916108659931,vix
-8.0916108659931,copia
-8.0916108659931,ager
-8.0916108659931,sol
-8.0916108659931,contendo
-8.0916108659931,curo
-8.0916108659931,praecipio
-8.0916108659931,praedico
-8.0916108659931,familiaris
-8.119009840181215,scilicet
-8.119009840181215,postea
-8.119009840181215,necesse
-8.119009840181215,recipio
-8.119009840181215,cogito
-8.119009840181215,libero
-8.119009840181215,armo
-8.119009840181215,communis
-8.119009840181215,sanctus
-8.119009840181215,alienus
-8.147180717147911,tot
-8.147180717147911,tecum
-8.147180717147911,praeter
-8.147180717147911,praesertim
-8.147180717147911,consulatus
-8.147180717147911,beneficium
-8.147180717147911,libertas
-8.147180717147911,constituo
-8.147180717147911,caput
-8.147180717147911,decerno
-8.147180717147911,auris
-8.147180717147911,amplus
-8.147180717147911,Graecus
-8.147180717147911,auctor
-8.147180717147911,totum
-8.147180717147911,saepes
-8.147180717147911,magis
-8.147180717147911,maga
-8.176168254021164,tandem
-8.176168254021164,similis
-8.176168254021164,vendo
-8.176168254021164,abeo
-8.176168254021164,tollo
-8.176168254021164,animo
-8.176168254021164,primum
-8.176168254021164,desero
-8.176168254021164,os
-8.206021217170846,velut
-8.206021217170846,gens
-8.206021217170846,defero
-8.206021217170846,Christus
-8.206021217170846,resisto
-8.206021217170846,fugio
-8.206021217170846,dignus
-8.206021217170846,finis
-8.206021217170846,tribuo
-8.206021217170846,tres
-8.206021217170846,ceteri
-8.206021217170846,arma
-8.206021217170846,propinquus
-8.2367928758376,praesum
-8.2367928758376,templum
-8.2367928758376,salvos
-8.2367928758376,otium
-8.2367928758376,muto
-8.2367928758376,intersum
-8.2367928758376,immo
-8.2367928758376,hodie
-8.2367928758376,commemoro
-8.2367928758376,aliquando
-8.2367928758376,discedo
-8.2367928758376,solvo
-8.2367928758376,exeo
-8.2367928758376,irascor
-8.2367928758376,diligo
-8.2367928758376,placeo
-8.2367928758376,sapiens
-8.2367928758376,iuvenis
-8.268541574152179,usque
-8.268541574152179,pietas
-8.268541574152179,mulier
-8.268541574152179,etsi
-8.268541574152179,Cicero
-8.268541574152179,philosophus
-8.268541574152179,excipio
-8.268541574152179,reperio
-8.268541574152179,plebs
-8.268541574152179,pecco
-8.268541574152179,oro
-8.268541574152179,perficio
-8.268541574152179,vitium
-8.268541574152179,potior
-8.268541574152179,adversus
-8.30133139697517,quaestio
-8.30133139697517,praesidium
-8.30133139697517,iterum
-8.30133139697517,permitto
-8.30133139697517,comparo
-8.30133139697517,queror
-8.30133139697517,infelix
-8.30133139697517,eripio
-8.30133139697517,propono
-8.30133139697517,maledico
-8.30133139697517,adeo
-8.335232948650852,secundus
-8.335232948650852,utique
-8.335232948650852,narro
-8.335232948650852,gladius
-8.335232948650852,facinus
-8.335232948650852,calamitas
-8.335232948650852,admiror
-8.335232948650852,adulescens
-8.335232948650852,vindico
-8.335232948650852,exigo
-8.335232948650852,anima
-8.335232948650852,promitto
-8.335232948650852,clarus
-8.335232948650852,statuo
-8.335232948650852,officium
-8.335232948650852,qualis
-8.335232948650852,contineo
-8.335232948650852,sata
-8.335232948650852,solo
-8.335232948650852,necessarius
-8.370324268462122,reverto
-8.370324268462122,sin
-8.370324268462122,offero
-8.370324268462122,ignis
-8.370324268462122,collega
-8.370324268462122,civilis
-8.370324268462122,iaceo
-8.370324268462122,metus
-8.370324268462122,nomino
-8.370324268462122,incipio
-8.370324268462122,principium
-8.370324268462122,sumo
-8.370324268462122,pugno
-8.370324268462122,libenter
-8.370324268462122,evenio
-8.370324268462122,vetus
-8.370324268462122,opera
-8.370324268462122,reliquus
-8.370324268462122,proficio
-8.370324268462122,obicio
-8.370324268462122,satis
-8.370324268462122,fors
-8.370324268462122,certe
-8.370324268462122,cedo
-8.370324268462122,ceterum
-8.370324268462122,multo
-8.370324268462122,senectus
-8.370324268462122,odio
-8.370324268462122,accido
-8.370324268462122,Pompeius
-8.406691912632997,sapio
-8.406691912632997,adverto
-8.406691912632997,paulus
-8.406691912632997,scipio
-8.406691912632997,requiro
-8.406691912632997,ops
-8.406691912632997,impono
-8.406691912632997,expeto
-8.406691912632997,disciplina
-8.406691912632997,coram
-8.406691912632997,cogitatio
-8.406691912632997,aliter
-8.406691912632997,opto
-8.406691912632997,metuo
-8.406691912632997,vehementer
-8.406691912632997,erro
-8.406691912632997,prior
-8.406691912632997,specto
-8.406691912632997,munus
-8.406691912632997,quicumque
-8.406691912632997,conor
-8.406691912632997,humanus
-8.406691912632997,potius
-8.406691912632997,facile
-8.406691912632997,multa
-8.406691912632997,parens
-8.406691912632997,socius
-8.406691912632997,atticus
-8.444432240615845,uter
-8.444432240615845,opinio
-8.444432240615845,interficio
-8.444432240615845,impleo
-8.444432240615845,condicio
-8.444432240615845,cibus
-8.444432240615845,differo
-8.444432240615845,expono
-8.444432240615845,fingo
-8.444432240615845,aspicio
-8.444432240615845,impero
-8.444432240615845,experior
-8.483652953769125,quamquam
-8.483652953769125,cunctus
-8.483652953769125,honestus
-8.483652953769125,significo
-8.483652953769125,reprehendo
-8.483652953769125,omitto
-8.483652953769125,nuper
-8.483652953769125,negotium
-8.483652953769125,magistratus
-8.483652953769125,Juppiter
-8.483652953769125,defensio
-8.483652953769125,consuetudo
-8.483652953769125,antea
-8.483652953769125,addo
-8.483652953769125,filia
-8.483652953769125,caro
-8.483652953769125,epistula
-8.483652953769125,Marcus
-8.483652953769125,conservo
-8.483652953769125,asinus
-8.483652953769125,eloquentia
