Frequency,Verb
-8.10595013273188,fallo
-8.10595013273188,consulatus
-8.10595013273188,libertas
-8.10595013273188,auctor
-8.10595013273188,pecco
-8.122210653603661,tribunus
-8.122210653603661,miror
-8.122210653603661,memini
-8.122210653603661,statim
-8.122210653603661,ager
-8.122210653603661,armo
-8.122210653603661,sanctus
-8.122210653603661,vitium
-8.13873995555487,hinc
-8.13873995555487,constituo
-8.13873995555487,defero
-8.13873995555487,Christus
-8.155547073871253,ecce
-8.155547073871253,beneficium
-8.155547073871253,abeo
-8.155547073871253,immo
-8.155547073871253,familiaris
-8.172641507230551,Quiris
-8.172641507230551,vix
-8.172641507230551,libero
-8.172641507230551,praeter
-8.172641507230551,tandem
-8.172641507230551,fugio
-8.172641507230551,contineo
-8.190033249942422,poena
-8.190033249942422,copia
-8.190033249942422,communis
-8.190033249942422,finis
-8.190033249942422,ceteri
-8.190033249942422,aliquando
-8.190033249942422,irascor
-8.190033249942422,pugno
-8.190033249942422,uter
-8.190033249942422,significo
-8.190033249942422,adversus
-8.207732827041822,postea
-8.207732827041822,auris
-8.207732827041822,Graecus
-8.207732827041822,tribuo
-8.207732827041822,propinquus
-8.207732827041822,maledico
-8.207732827041822,gladius
-8.207732827041822,disciplina
-8.207732827041822,quicumque
-8.207732827041822,impero
-8.207732827041822,desero
-8.207732827041822,num
-8.207732827041822,praedico
-8.207732827041822,servus
-8.225751332544501,disputo
-8.225751332544501,exspecto
-8.225751332544501,contendo
-8.225751332544501,etsi
-8.225751332544501,offero
-8.225751332544501,humanus
-8.225751332544501,interficio
-8.225751332544501,adeo
-8.244100471212697,ibi
-8.244100471212697,decerno
-8.244100471212697,magis
-8.244100471212697,tres
-8.244100471212697,sumo
-8.244100471212697,iuvenis
-8.262792604224849,maga
-8.262792604224849,discedo
-8.262792604224849,placeo
-8.262792604224849,usque
-8.281840799195544,Catilina
-8.281840799195544,intersum
-8.281840799195544,comparo
-8.281840799195544,sin
-8.281840799195544,obicio
-8.281840799195544,pervenio
-8.301258885052645,patro
-8.301258885052645,gens
-8.301258885052645,arma
-8.301258885052645,muto
-8.301258885052645,reperio
-8.301258885052645,queror
-8.301258885052645,solo
-8.301258885052645,iaceo
-8.301258885052645,incipio
-8.301258885052645,omitto
-8.301258885052645,sustineo
-8.301258885052645,familia
-8.301258885052645,adduco
-8.301258885052645,actio
-8.321061512348825,animo
-8.321061512348825,praesum
-8.321061512348825,hodie
-8.321061512348825,oro
-8.321061512348825,adulescens
-8.321061512348825,exigo
-8.321061512348825,officium
-8.321061512348825,collega
-8.321061512348825,nomino
-8.321061512348825,certe
-8.321061512348825,adverto
-8.321061512348825,prior
-8.321061512348825,specto
-8.321061512348825,instituo
-8.341264219666344,praesidium
-8.341264219666344,eripio
-8.341264219666344,secundus
-8.341264219666344,potior
-8.341264219666344,paulus
-8.341264219666344,aliter
-8.341264219666344,amor
-8.341264219666344,atticus
-8.36188350686908,saepes
-8.36188350686908,templum
-8.36188350686908,commemoro
-8.36188350686908,exeo
-8.36188350686908,pietas
-8.36188350686908,Cicero
-8.36188350686908,excipio
-8.36188350686908,propono
-8.36188350686908,promitto
-8.36188350686908,fors
-8.36188350686908,facile
-8.36188350686908,condicio
-8.36188350686908,honestus
-8.36188350686908,sapiens
-8.36188350686908,puer
-8.36188350686908,necessarius
-8.36188350686908,italia
-8.36188350686908,Pompeius
-8.382936916066912,salvos
-8.382936916066912,quaestio
-8.382936916066912,iterum
-8.382936916066912,permitto
-8.382936916066912,sata
-8.382936916066912,metus
-8.382936916066912,reliquus
-8.382936916066912,impleo
-8.382936916066912,reprehendo
-8.382936916066912,crudelis
-8.382936916066912,Roscius
-8.382936916066912,numero
-8.382936916066912,emo
-8.404443121287876,praesertim
-8.404443121287876,otium
-8.404443121287876,philosophus
-8.404443121287876,perficio
-8.404443121287876,utique
-8.404443121287876,facinus
-8.404443121287876,clarus
-8.404443121287876,satis
-8.404443121287876,ops
-8.404443121287876,cedo
-8.404443121287876,conor
-8.404443121287876,fingo
-8.404443121287876,careo
-8.404443121287876,equus
-8.404443121287876,committo
-8.404443121287876,mando
-8.404443121287876,T
-8.426422028006652,qualis
-8.426422028006652,civilis
-8.426422028006652,proficio
-8.426422028006652,impono
-8.426422028006652,erro
-8.426422028006652,vito
-8.426422028006652,parum
-8.426422028006652,adhibeo
-8.426422028006652,exercitus
-8.426422028006652,imago
-8.44889488385871,primum
-8.44889488385871,plebs
-8.44889488385871,infelix
-8.44889488385871,anima
-8.44889488385871,requiro
-8.44889488385871,cogitatio
-8.44889488385871,ceterum
-8.44889488385871,aspicio
-8.44889488385871,Marcus
-8.44889488385871,numerus
-8.44889488385871,aestimo
-8.44889488385871,eligo
-8.44889488385871,lingua
-8.44889488385871,tertius
-8.44889488385871,retineo
-8.44889488385871,equidem
-8.44889488385871,socius
-8.44889488385871,accido
-8.47188440208341,resisto
-8.47188440208341,ignis
-8.47188440208341,vetus
-8.47188440208341,sapio
-8.47188440208341,filia
-8.47188440208341,epistula
-8.47188440208341,lacrima
-8.47188440208341,sanus
-8.47188440208341,gaudeo
-8.47188440208341,redimo
-8.47188440208341,sedeo
-8.47188440208341,cumque
-8.47188440208341,acies
-8.47188440208341,ferrum
-8.47188440208341,persequor
-8.47188440208341,deduco
-8.47188440208341,par
-8.495414899493603,velut
-8.495414899493603,vindico
-8.495414899493603,statuo
-8.495414899493603,opera
-8.495414899493603,expeto
-8.495414899493603,negotium
-8.495414899493603,Juppiter
-8.495414899493603,paene
-8.495414899493603,invidia
-8.495414899493603,felix
-8.495414899493603,caelum
-8.495414899493603,servio
-8.495414899493603,nonne
-8.495414899493603,aufero
-8.495414899493603,converto
-8.495414899493603,furor
-8.495414899493603,fortuno
-8.495414899493603,lux
-8.495414899493603,Laelius
-8.519512451072664,munus
-8.519512451072664,potius
-8.519512451072664,defensio
-8.519512451072664,dux
-8.519512451072664,religio
-8.519512451072664,privo
-8.519512451072664,invitus
-8.519512451072664,maneo
-8.519512451072664,hercule
-8.519512451072664,quaeso
-8.519512451072664,latro
-8.519512451072664,indico
-8.519512451072664,turpis
-8.544205063663036,narro
-8.544205063663036,principium
-8.544205063663036,libenter
-8.544205063663036,coram
-8.544205063663036,metuo
-8.544205063663036,multo
-8.544205063663036,differo
-8.544205063663036,necessitas
-8.544205063663036,ignosco
-8.544205063663036,senectus
-8.544205063663036,dives
-8.544205063663036,proprius
-8.544205063663036,innocens
-8.544205063663036,agnosco
-8.544205063663036,divitiae
-8.544205063663036,parens
-8.569522871647326,multa
-8.569522871647326,caro
-8.569522871647326,contio
-8.569522871647326,quintus
-8.569522871647326,possessio
-8.569522871647326,arguo
-8.569522871647326,victoria
-8.569522871647326,mare
-8.569522871647326,iustus
